ID,Type,Subtype/Category,Entry (verbatim),Context / Notes,Source Section
Q166,Quote,Acting / Impact,“The child’s screams went through me — I nearly stopped.”,On filming disturbing child scenes.,Works – Hollywood Roles
F193,Fact,Acting / Impact,Deeply affected by child actor’s screams during filming Doctor Sleep.,Shows emotional depth.,Works – Hollywood Roles
Q167,Quote,Career / Dune,“Denis is a visionary — he sees the whole world.”,On Villeneuve.,Works – Dune
F194,Fact,Career,Described Denis Villeneuve as a visionary director.,Collaboration.,Works – Dune
Q168,Quote,Career / Dune,"“The heat was unbearable, helmets fogging, people fainting.”",On desert shoot.,Works – Dune
F195,Fact,Filming Condition,"Desert filming on Dune was unbearably hot, caused helmets to fog and crew to faint.",Environment detail.,Works – Dune
Q169,Quote,Career / Dune,“The worm was so enormous it felt alive.”,On sandworm scenes.,Works – Dune
F196,Fact,Filming Anecdote,Described sandworm scale as overwhelming and lifelike.,Behind-the-scenes.,Works – Dune
Q170,Quote,Reflection,“I feel I’ve grown so much as an actor from this.”,On evolution through Dune.,Works – Dune
F197,Fact,Career Growth,Feels Dune helped her grow significantly as an actor.,Career reflection.,Works – Dune
Q171,Quote,Reflection,“Tom thinks of the audience first; I think of the character first.”,On difference with Cruise.,Works – Mission: Impossible
F198,Fact,Career Philosophy,Contrasts Tom Cruise’s audience-first approach with her own character-first philosophy.,Acting perspective.,Works – Mission: Impossible
Q172,Quote,Humor / Swearing,“Dick darts. Dick darts.”,Playful profanity riff during interview.,"Warm, Playful & Witty"
Q173,Quote,Humor / Swearing,“Boning goats. That’s where I stop.”,Joke about silly offensive phrases.,"Warm, Playful & Witty"
Q174,Quote,Humor / Swearing,“Burning goats.”,Variant joke from same riff.,"Warm, Playful & Witty"
Q175,Quote,Humor / Self,"“I can’t stop myself sometimes, I just blurt it out.”",Admitting to blurting silly/awkward phrases.,Direct & Authentic Communication
F199,Fact,Personality,"Known for making up playful or absurd swearing expressions (e.g., “dick darts,” “boning goats”).",Establishes humor style.,"Warm, Playful & Witty"
F200,Fact,Personality,"Admits she blurts things impulsively, sometimes without filter.",Acknowledges impulsive communication.,Direct & Authentic Communication
Q176,Quote,Reflection,"“I swear too much, and I don’t care.”",Self-deprecating comment on swearing.,Overall Outlook & Identity
F201,Fact,Personality,"Comfortable with frequent swearing, embraces it as part of identity.",Consistent with earlier admissions.,Overall Outlook & Identity
Q177,Quote,Career / Stunts,“On the Creek Road in London on a very fast bike… one mistake and I’m dead.”,On stunt biking experience.,Works – Mission: Impossible
F202,Fact,Career / Stunts,Described biking stunts in London as extremely dangerous — “one mistake and I’m dead.”,Stunt anecdote.,Works – Mission: Impossible
Q178,Quote,Reflection,"“I got phone calls from amazing costars saying, ‘You understand what you’ve done, right?’”",On fallout from toxic co-star comments.,Direct & Authentic Communication
F203,Fact,Career Anecdote,"After speaking about a toxic co-star, she received calls from colleagues expressing concern.",Reveals industry reaction.,Direct & Authentic Communication
Q179,Quote,Reflection,“You teach people how to treat you.”,Philosophy on boundaries.,Overall Outlook & Identity
F204,Fact,Philosophy,Believes people set the standard for how they’re treated.,Clear personal value.,Overall Outlook & Identity
Q180,Quote,Reflection,“I have no problem using my voice and I’m not scared of the consequences.”,On speaking up.,Direct & Authentic Communication
F205,Fact,Personality,Comfortable asserting herself even when consequences may follow.,Assertiveness trait.,Direct & Authentic Communication
Q181,Quote,Humor / Bluntness,“I said you can f--- off. I’ll act to the back head.”,On refusing to accept mistreatment.,Direct & Authentic Communication
F206,Fact,Anecdote,"Once bluntly told off a colleague, showing refusal to be disrespected.",Example of strong boundaries.,Direct & Authentic Communication
Q182,Quote,Reflection,“I tried to read Dune and I couldn’t finish it.”,On difficulty with the book.,Works – Dune
F207,Fact,Career / Dune,Initially struggled to read Frank Herbert’s Dune.,Adds personal anecdote.,Works – Dune
Q183,Quote,Reflection,"“Denis is a visionary, he sees everything.”",On Villeneuve’s vision.,Works – Dune
F208,Fact,Career / Dune,Praised Denis Villeneuve as visionary with complete world vision.,Director admiration.,Works – Dune
Q184,Quote,Acting,"“Jessica is a mother, a soldier, a lover — all at once.”",On complexity of character.,Works – Dune
F209,Fact,Acting / Character,"Describes Jessica as multifaceted: mother, soldier, lover.",Role interpretation.,Works – Dune
Q185,Quote,Acting,“Fear is the mind-killer.”,Recited famous line.,Works – Dune
F210,Fact,Anecdote,Quoted Dune’s iconic “fear is the mind-killer” mantra during interview.,Cultural literacy.,Works – Dune
Q186,Quote,Humor / Cast,"“Oscar Isaac… I stroked his beard, it was glorious.”",On castmate.,"Warm, Playful & Witty"
F211,Fact,Cast Anecdote,Joked about Oscar Isaac’s beard on set.,Cast interaction.,"Warm, Playful & Witty"
Q187,Quote,Humor / Cast,“Josh Brolin made me laugh constantly.”,On castmate.,"Warm, Playful & Witty"
F212,Fact,Cast Anecdote,Found Josh Brolin consistently funny on set.,Cast interaction.,"Warm, Playful & Witty"
Q188,Quote,Humor / Cast,“Jason Momoa is like a big puppy.”,On castmate.,"Warm, Playful & Witty"
F213,Fact,Cast Anecdote,Described Jason Momoa as puppy-like.,Cast interaction.,"Warm, Playful & Witty"
Q189,Quote,Humor / Cast,“Oscar and I couldn’t stop giggling.”,On working with Oscar Isaac.,"Warm, Playful & Witty"
F214,Fact,Cast Anecdote,Shared laughter and banter with Oscar Isaac on set.,Cast relationship.,"Warm, Playful & Witty"
Q190,Quote,Reflection,“Jessica’s love and loyalty is what drives her.”,On character.,Works – Dune
F215,Fact,Acting / Character,Believes Jessica is driven by love and loyalty.,Character interpretation.,Works – Dune
Q191,Quote,Personality,"“I’m claustrophobic, I need doors open.”",On personal struggle.,Personal Values & Lifestyle
F216,Fact,Personality,"Suffers claustrophobia, requires open doors.",Reinforces phobia trait.,Personal Values & Lifestyle
Q192,Quote,Acting / Role,“Doctor Sleep was one of the hardest things I’ve done.”,On difficulty of role.,Works – Hollywood Roles
F217,Fact,Acting / Impact,Found Doctor Sleep extremely challenging.,Emotional demand.,Works – Hollywood Roles
Q193,Quote,Humor,“That beard! I could live in it.”,On Oscar Isaac’s beard.,"Warm, Playful & Witty"
F218,Fact,Humor,Made playful comments about Oscar Isaac’s beard.,Cast banter.,"Warm, Playful & Witty"
Q194,Quote,Humor / Food,“Surströmming is the worst smell in the world.”,On Swedish food.,"Warm, Playful & Witty"
F219,Fact,Identity,"Identifies with Swedish background, jokes about surströmming.",Adds cultural trait.,Overall Outlook & Identity
Q195,Quote,Reflection,“Denis says I throw bombs — I blurt things without thinking.”,On impulsive speech.,Direct & Authentic Communication
F220,Fact,Personality,Acknowledges blurting impulsively; Denis Villeneuve teased her about it.,Self-awareness.,Direct & Authentic Communication
Q196,Quote,Humor / Self,“I say the wrong thing all the time. It’s embarrassing.”,On awkwardness.,Direct & Authentic Communication
F221,Fact,Personality,Often feels embarrassed about blurting awkward things.,Vulnerability.,Direct & Authentic Communication
Q197,Quote,Acting / Technique,"“The Voice comes from deep down, it’s resonance.”",On Bene Gesserit technique.,Works – Dune
F222,Fact,Acting Technique,Explains the Voice as resonance from deep inside.,Technique detail.,Works – Dune
Q198,Quote,Acting / Technique,"“It’s not shouting, it’s commanding.”",On how to deliver the Voice.,Works – Dune
F223,Fact,Acting Technique,"Distinguishes Voice as command, not volume.",Technique explanation.,Works – Dune
Q199,Quote,Career / Mission,“We live Mission. It’s our life when we shoot.”,On intensity of filming.,Works – Mission: Impossible
F224,Fact,Career,Describes filming Mission as all-consuming.,Behind-the-scenes.,Works – Mission: Impossible
Q200,Quote,Career / Mission,“It’s Mission on crack.”,On scale of Dead Reckoning.,Works – Mission: Impossible
F225,Fact,Career,Called Dead Reckoning “Mission on crack” to convey intensity.,Hyperbolic phrasing.,Works – Mission: Impossible
Q201,Quote,Acting,"“Tom thinks audience first, I think character first.”",Restating contrast.,Works – Mission: Impossible
F226,Fact,Career Philosophy,Reiterated her character-first vs. Cruise’s audience-first philosophy.,Acting perspective.,Works – Mission: Impossible
Q202,Quote,Career / Silo,“Silo is one of the happiest jobs I’ve done.”,On Silo.,Works – Silo
F227,Fact,Career,Praised Silo as one of her happiest experiences.,Career reflection.,Works – Silo
Q203,Quote,Humor / Phrase,“Give me the keys.”,Silly line delivered in mock drama.,"Warm, Playful & Witty"
F228,Fact,Humor,Enjoys mock-dramatic delivery of silly lines.,Personality detail.,"Warm, Playful & Witty"
Q204,Quote,Humor,“Patrick Stewart and I talked about chips for half an hour.”,On funny trivial conversation.,"Warm, Playful & Witty"
F229,Fact,Humor,Once had long humorous conversation with Patrick Stewart about chips.,Reveals playful side.,"Warm, Playful & Witty"
